Dia;Mes;ano;Hora;Minuto;Segundo;Temperatura
10;10;2012;8;2;0;23,0
10;10;2012;10;2;0;24,0
10;10;2012;12;2;0;24,5
10;10;2012;14;2;0;24,5
10;10;2012;16;2;0;22,5
10;10;2012;18;2;0;22,5
10;10;2012;20;2;0;22,0
10;10;2012;22;2;0;22,0
11;10;2012;0;2;0;22,0
11;10;2012;2;2;0;21,5
11;10;2012;4;2;0;21,0
11;10;2012;6;2;0;21,5
11;10;2012;8;2;0;22,5
11;10;2012;10;2;0;23,0
11;10;2012;12;2;0;23,0
11;10;2012;14;2;0;23,0
11;10;2012;16;2;0;22,5
11;10;2012;18;2;0;22,0
11;10;2012;20;2;0;22,0
11;10;2012;22;2;0;22,5
12;10;2012;0;2;0;22,5
12;10;2012;2;2;0;22,0
12;10;2012;4;2;0;22,0
12;10;2012;6;2;0;22,0
12;10;2012;8;2;0;22,5
12;10;2012;10;2;0;22,0
12;10;2012;12;2;0;22,0
12;10;2012;14;2;0;21,5
12;10;2012;16;2;0;21,5
12;10;2012;18;2;0;21,0
12;10;2012;20;2;0;20,5
12;10;2012;22;2;0;20,0
13;10;2012;0;2;0;20,0
13;10;2012;2;2;0;19,5
13;10;2012;4;2;0;19,5
13;10;2012;6;2;0;19,5
13;10;2012;8;2;0;20,0
13;10;2012;10;2;0;20,5
13;10;2012;12;2;0;21,0
13;10;2012;14;2;0;21,0
13;10;2012;16;2;0;21,0
13;10;2012;18;2;0;21,0
13;10;2012;20;2;0;21,0
13;10;2012;22;2;0;20,5
14;10;2012;0;2;0;20,5
14;10;2012;2;2;0;20,5
14;10;2012;4;2;0;20,5
14;10;2012;6;2;0;20,5
14;10;2012;8;2;0;21,0
14;10;2012;10;2;0;21,5
14;10;2012;12;2;0;22,0
14;10;2012;14;2;0;21,5
14;10;2012;16;2;0;21,0
14;10;2012;18;2;0;20,5
14;10;2012;20;2;0;20,0
14;10;2012;22;2;0;20,0
15;10;2012;0;2;0;20,0
15;10;2012;2;2;0;20,0
15;10;2012;4;2;0;20,0
15;10;2012;6;2;0;20,0
15;10;2012;8;2;0;20,5
15;10;2012;10;2;0;22,5
15;10;2012;12;2;0;22,5
15;10;2012;14;2;0;22,0
15;10;2012;16;2;0;21,0
15;10;2012;18;2;0;21,0
15;10;2012;20;2;0;21,0
15;10;2012;22;2;0;21,0
16;10;2012;0;2;0;20,5
16;10;2012;2;2;0;20,5
16;10;2012;4;2;0;20,5
16;10;2012;6;2;0;20,5
